,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.454252932531109,-0.17920222862522675,-0.023841858430986455,0.004735258522972602,0.0019313391741531043,0.08136441173442012,0.05525642977112225,-0.05244102945230603,0.1888513206097477,-0.19226920780575155,-0.1635850171851384,-0.17986454965612367,0.023787244342375884,-0.19225708245643336
statusS,0.454252932531109,1.0,-0.20326936759134254,-0.013843963960986415,-0.09885115677895906,0.025154482822969046,0.18199293975271524,-6.277775403021314e-05,-0.12359443149360406,0.12681536881317854,-0.19495193907798533,-0.028574273736535954,-0.20382504588827802,0.06082003167968473,-0.19497201305854703
tempC,-0.17920222862522675,-0.20326936759134254,1.0,0.27000910426262004,0.4740819265553461,-0.06853879844922926,-0.8209716066983733,0.15270612615452583,-0.27969099405845277,-0.2720683572504261,0.9802955257504301,0.36017077615053994,0.9998714226030566,0.05119130341214403,0.9803354640062637
windspeedKmph,-0.023841858430986455,-0.013843963960986415,0.27000910426262004,1.0,0.24169668936304287,0.2054288888784835,-0.4046125139023504,-0.10182046228554492,-0.018802832299375443,0.03360760264819254,0.22509466641668274,-0.13617928277565924,0.27069103210069695,0.9426044866659491,0.22519349063465519
cond,0.004735258522972602,-0.09885115677895906,0.4740819265553461,0.24169668936304287,1.0,0.11565571169338598,-0.5092293491241918,-0.04981151200937304,-0.10392298749078348,0.05958873933983458,0.44973382868188405,-0.017643049472822758,0.47401100641654653,0.1472739686073227,0.44976446423041766
precipMM,0.0019313391741531043,0.025154482822969046,-0.06853879844922926,0.2054288888784835,0.11565571169338598,1.0,0.1471696798950201,-0.5653007178181879,-0.18379273633767196,0.4646443522725293,-0.03967060393857212,0.13285633906418826,-0.0684187574838729,0.2556938567797998,-0.03948047422841567
humidity,0.08136441173442012,0.18199293975271524,-0.8209716066983733,-0.4046125139023504,-0.5092293491241918,0.1471696798950201,1.0,-0.26208280160402925,0.09358078300159207,0.22928993912703935,-0.737910657194419,0.1452183168288863,-0.8212621134843661,-0.22651612862664275,-0.7379634187402534
visibility,0.05525642977112225,-6.277775403021314e-05,0.15270612615452583,-0.10182046228554492,-0.04981151200937304,-0.5653007178181879,-0.26208280160402925,1.0,0.21553681511243036,-0.32868976584614296,0.10971224485177787,-0.15820522995992423,0.1528183117908622,-0.17411000715652697,0.11003208313901233
pressure,-0.05244102945230603,-0.12359443149360406,-0.27969099405845277,-0.018802832299375443,-0.10392298749078348,-0.18379273633767196,0.09358078300159207,0.21553681511243036,1.0,-0.07313643718750878,-0.3201434497216481,-0.30781890696203007,-0.27954490017325817,-0.004140502479124795,-0.3199257850007499
cloudcover,0.1888513206097477,0.12681536881317854,-0.2720683572504261,0.03360760264819254,0.05958873933983458,0.4646443522725293,0.22928993912703935,-0.32868976584614296,-0.07313643718750878,1.0,-0.25883862163428567,-0.08139485173571248,-0.27142716422777785,0.15381779138884108,-0.25880065385619205
heatIndexC,-0.19226920780575155,-0.19495193907798533,0.9802955257504301,0.22509466641668274,0.44973382868188405,-0.03967060393857212,-0.737910657194419,0.10971224485177787,-0.3201434497216481,-0.25883862163428567,1.0,0.4875212539226766,0.9802133536757167,0.006528980959688725,0.9999697698681884
dewPointC,-0.1635850171851384,-0.028574273736535954,0.36017077615053994,-0.13617928277565924,-0.017643049472822758,0.13285633906418826,0.1452183168288863,-0.15820522995992423,-0.30781890696203007,-0.08139485173571248,0.4875212539226766,1.0,0.35989304192435123,-0.22830538166611586,0.4875375243885429
windChillC,-0.17986454965612367,-0.20382504588827802,0.9998714226030566,0.27069103210069695,0.47401100641654653,-0.0684187574838729,-0.8212621134843661,0.1528183117908622,-0.27954490017325817,-0.27142716422777785,0.9802133536757167,0.35989304192435123,1.0,0.05178996586855597,0.9802532840240479
windGustKmph,0.023787244342375884,0.06082003167968473,0.05119130341214403,0.9426044866659491,0.1472739686073227,0.2556938567797998,-0.22651612862664275,-0.17411000715652697,-0.004140502479124795,0.15381779138884108,0.006528980959688725,-0.22830538166611586,0.05178996586855597,1.0,0.006532160568383362
feelsLikeC,-0.19225708245643336,-0.19497201305854703,0.9803354640062637,0.22519349063465519,0.44976446423041766,-0.03948047422841567,-0.7379634187402534,0.11003208313901233,-0.3199257850007499,-0.25880065385619205,0.9999697698681884,0.4875375243885429,0.9802532840240479,0.006532160568383362,1.0
