,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
statusN,1.0,0.25659905931944554,-0.047365981959317814,0.0566369601189224,0.004877038644755388,-0.08416299790952547,-0.048763127661920765,0.1318771489862814,-0.04132456663602302,0.07489615812980288,-0.07299201935914801,-0.18867146938284923,-0.04722328893673178,0.06157734322317927,-0.07321885300825631
statusS,0.25659905931944554,1.0,-0.22594306050807886,-0.044322056539154206,-0.05848273017503596,0.0017465396869718601,0.08190378805312194,0.01730665470043705,0.03232231779714061,0.13503602664274017,-0.26115335015004,-0.32225090538958645,-0.22612475012700367,0.012286071042072418,-0.26131197232655035
tempC,-0.047365981959317814,-0.22594306050807886,1.0,0.2699810496350991,0.4740462088201103,-0.0687209868733825,-0.8209492722707336,0.1527312972995219,-0.2797478779234088,-0.2721079108980358,0.9802894905427619,0.3601677877997067,0.9998714213385654,0.0510870645584968,0.980329406471577
windspeedKmph,0.0566369601189224,-0.044322056539154206,0.2699810496350991,1.0,0.24170576463283014,0.2055370445402947,-0.4045970061569714,-0.10191758723544521,-0.018692177752212713,0.03368827201625637,0.22502542870198974,-0.1361667082676446,0.2706630168538178,0.9425623443470625,0.22512423836343695
cond,0.004877038644755388,-0.05848273017503596,0.4740462088201103,0.24170576463283014,1.0,0.1155615413449591,-0.5092023236360101,-0.049701048571896986,-0.1038970691076173,0.05958180943056328,0.44968082848164204,-0.01766578576201752,0.47397538279781015,0.14726748576857054,0.4497114488029155
precipMM,-0.08416299790952547,0.0017465396869718601,-0.0687209868733825,0.2055370445402947,0.1155615413449591,1.0,0.14728615433842673,-0.5654462205700033,-0.18306815110211358,0.4647088735599208,-0.03998981772451055,0.13284152585020523,-0.06860104472310456,0.2561191128397373,-0.0397998745011646
humidity,-0.048763127661920765,0.08190378805312194,-0.8209492722707336,-0.4045970061569714,-0.5092023236360101,0.14728615433842673,1.0,-0.262063052688085,0.09363530605708285,0.2293290578473997,-0.7378811444402903,0.14521529102657368,-0.821239833074405,-0.22641114033867288,-0.7379338783942663
visibility,0.1318771489862814,0.01730665470043705,0.1527312972995219,-0.10191758723544521,-0.049701048571896986,-0.5654462205700033,-0.262063052688085,1.0,0.21508102140617832,-0.328740651243366,0.10982795297353543,-0.15821275775676946,0.15284380932205135,-0.17436265660862799,0.11014755053802609
pressure,-0.04132456663602302,0.03232231779714061,-0.2797478779234088,-0.018692177752212713,-0.1038970691076173,-0.18306815110211358,0.09363530605708285,0.21508102140617832,1.0,-0.0729558588031647,-0.3202637185619074,-0.3077526890674788,-0.27960203722287624,-0.0038427989645702376,-0.32004613101956636
cloudcover,0.07489615812980288,0.13503602664274017,-0.2721079108980358,0.03368827201625637,0.05958180943056328,0.4647088735599208,0.2293290578473997,-0.328740651243366,-0.0729558588031647,1.0,-0.25890700878169953,-0.08136026650256495,-0.271466828042558,0.1539709074772639,-0.2588690364036755
heatIndexC,-0.07299201935914801,-0.26115335015004,0.9802894905427619,0.22502542870198974,0.44968082848164204,-0.03998981772451055,-0.7378811444402903,0.10982795297353543,-0.3202637185619074,-0.25890700878169953,1.0,0.48750762138133596,0.9802072941382826,0.006361748260147383,0.9999697868771107
dewPointC,-0.18867146938284923,-0.32225090538958645,0.3601677877997067,-0.1361667082676446,-0.01766578576201752,0.13284152585020523,0.14521529102657368,-0.15821275775676946,-0.3077526890674788,-0.08136026650256495,0.48750762138133596,1.0,0.3598899400110246,-0.22824010441089385,0.48752388410201547
windChillC,-0.04722328893673178,-0.22612475012700367,0.9998714213385654,0.2706630168538178,0.47397538279781015,-0.06860104472310456,-0.821239833074405,0.15284380932205135,-0.27960203722287624,-0.271466828042558,0.9802072941382826,0.3598899400110246,1.0,0.05168570925296654,0.980247202163514
windGustKmph,0.06157734322317927,0.012286071042072418,0.0510870645584968,0.9425623443470625,0.14726748576857054,0.2561191128397373,-0.22641114033867288,-0.17436265660862799,-0.0038427989645702376,0.1539709074772639,0.006361748260147383,-0.22824010441089385,0.05168570925296654,1.0,0.006364951522157982
feelsLikeC,-0.07321885300825631,-0.26131197232655035,0.980329406471577,0.22512423836343695,0.4497114488029155,-0.0397998745011646,-0.7379338783942663,0.11014755053802609,-0.32004613101956636,-0.2588690364036755,0.9999697868771107,0.48752388410201547,0.980247202163514,0.006364951522157982,1.0
